filename,result,time_seconds
0293.TIF,1710,1.244
0294.TIF,0502,1.36
0295.TIF,5778,1.443
0296.TIF,,1.124
0297.TIF,8453,1.131
0298.TIF,4569,1.212
0299.TIF,,1.046
0300.TIF,5577,1.2
0301.TIF,2286,1.181
0302.TIF,7159,1.194
0303.TIF,5076,1.202
0304.TIF,6588,1.141
0305.TIF,1042,1.373
0306.TIF,6005,1.425
0307.TIF,153,1.265
0308.TIF,17888,1.199
0309.TIF,35185,1.276
0310.TIF,506,1.371
0311.TIF,05748,1.764
0312.TIF,505,1.267
0313.TIF,525,1.279
0314.TIF,41093,1.283
0315.TIF,8363,1.312
0316.TIF,1311,1.224
0317.TIF,8716,1.233
0318.TIF,4567,1.263
0319.TIF,931,1.425
0320.TIF,8995,1.216
0321.TIF,9833,1.165
0322.TIF,643,1.322
0323.TIF,7312,1.254
0324.TIF,14978,1.405
0325.TIF,3511,1.401
0326.TIF,4028,1.267
0327.TIF,1061,1.241
0328.TIF,0225,1.439
0329.TIF,0224,1.49
0330.TIF,0506,1.173
0331.TIF,0531,1.46
0332.TIF,9156,1.946
0333.TIF,1417,2.906
0334.TIF,0304,2.011
0335.TIF,0772,1.245
0336.TIF,6724,1.2
0337.TIF,1058,1.147
0338.TIF,1080,1.162
0339.TIF,5484,1.213
0340.TIF,2197,1.245
0341.TIF,7357,1.122
0342.TIF,2198,1.14
0343.TIF,8142,1.261
0344.TIF,2289,1.159
0345.TIF,2286,1.39
0346.TIF,2237,1.421
0347.TIF,9850,1.097
0348.TIF,,1.183
0349.TIF,855,1.334
0350.TIF,9862,1.379
0351.TIF,2251,1.371
0352.TIF,1984,1.269
0353.TIF,1985,1.223
0354.TIF,3497,1.209
0355.TIF,8843,1.272
0356.TIF,3899,1.185
0357.TIF,8350,1.18
0358.TIF,9466,1.306
0359.TIF,22,1.329
0360.TIF,9370,1.211
0361.TIF,7506,1.213
0362.TIF,3504,1.423
0363.TIF,2919,1.449
0364.TIF,62,1.472
0365.TIF,7574,1.387
0366.TIF,8594,1.33
0367.TIF,3584,1.485
0368.TIF,8152,1.378
0369.TIF,3780,1.381
0370.TIF,1834,1.469
0371.TIF,09,1.462
0372.TIF,31987,1.404
0373.TIF,3033,1.145
0374.TIF,7994,1.118
0375.TIF,8443,1.179
0376.TIF,3669,1.42
0377.TIF,7,1.38
0378.TIF,7488,1.357
0379.TIF,6020,1.355
0380.TIF,646,1.417
0381.TIF,6486,1.312
0382.TIF,638880,1.398
0383.TIF,2871,1.376
0384.TIF,0365,1.306
0385.TIF,0143,1.258
0386.TIF,2635,1.328
0387.TIF,5079,1.298
0388.TIF,9033,1.379
0389.TIF,8980,1.441
0390.TIF,755,1.345
0391.TIF,1275,1.213
0392.TIF,1155,1.092
0393.TIF,2549,1.093
0394.TIF,2646,1.174
0395.TIF,4866,1.092
0396.TIF,1399,1.151
0397.TIF,0406,1.045
